114,847,H
120,920,H
133,1018,H
229,847,H
229,1003,H
29,1178,H
70,1186,H
164,1149,M
185,1151,M
73,731,M
191,792,M
26,802,M
149,884,M
187,905,M
14,929,M
140,953,M
295,941,M
192,1049,M
114,1087,M
200,1105,M
258,1121,M
370,1186,H
398,1079,H
461,1067,H
511,1049,H
856,1019,H
861,1085,H
766,1028,M
385,988,M
343,1151,M
470,1133,M
622,992,M
816,1162,M
830,1055,M
794,1010,M
760,964,M
805,958,M
1049,740,H
1075,1001,H
1085,1001,H
1117,635,H
960,908,H
992,836,H
1011,857,H
1051,948,M
1171,531,M
1086,1160,M
1171,711,M
1186,644,M
1135,568,M
1113,832,M
1049,817,M
927,557,M
963,583,M
1008,1091,M
1186,1181,M
1087,905,M
952,841,M
1171,741,M
880,604,M
1088,539,H
1149,30,H
797,127,H
842,73,H
976,89,H
1151,253,H
1061,193,H
937,181,M
1123,117,M
1081,169,M
853,14,M
1171,231,M
902,38,M
834,247,M
800,305,M
1107,293,M
966,462,M
1026,502,M
1096,479,M
1033,402,M
923,298,M
1109,199,M
1057,22,M
927,83,M
1171,471,M
728,97,H
391,107,H
456,142,H
31,68,H
37,22,M
67,22,M
336,202,M
759,30,M
688,100,M
722,164,M
679,276,H
362,218,H
259,192,M
167,181,M
175,41,M
283,111,M
333,44,M
429,30,M
475,88,M
629,109,M
611,138,M
754,258,M
569,99,M
